descricao,criado,qtdInsumos,calculado,correto
30 CAP | BUPROPIONA CLORIDRATO  150MG,2020-08-05 23:19:09,1,47.5297,39.9
60 CAP | TADALAFIL  5MG; PIRIDOXINA 1.500MG,2020-07-31 13:21:13,2,53.4963,45.3
30 CAP | SULFATO DE ZINCO  20MG,2020-07-31 13:21:13,1,31.3001,39.9
30 CAP | SULFATO DE ZINCO  30MG,2020-07-31 13:21:13,1,31.9502,39.9
60 CAP | SERTRALINA CLORIDRATO  75MG,2020-07-31 13:21:13,1,67.8038,54.5
60 CAP | RIBOFLAVINA  400MG,2020-07-31 13:20:12,1,126.1632,158.2
90 CAP | VITAMINA D  10000UI; VITAMINA K2 MK7  100MCG,2020-07-31 13:19:14,2,43.6305,61.9
60 CAP | KELP IODINE EXTRACT 1%  300MCG,2020-07-31 13:17:12,1,30.162,43.6
120 CAP | HIDROCORTISONA BASE  10MG,2020-07-31 13:14:12,1,90.5472,79.6
90 CAP | DAPSONA  50MG,2020-07-31 13:13:13,1,82.5895,73.5
16 CAP | VITAMINA D3 1:100  7000UI,2020-07-31 13:11:12,1,31.6576,40.0
60 CAP | VITAMINA D LIQ CAP ATE 15MIL  15000UI; VITAMINA A OLEOSA ORAL  1500UI; VITAMINA K2 MK7  150MCG,2020-07-31 13:09:12,3,63.0435,61.4
60 CAP | DIACEREINA  50MG; DEFLAZACORT  3MG; PARACETAMOL  500MG,2020-07-31 13:04:11,3,148.4378,158.7
180 CAP | HEXANICOTINATO DE INOSITOL  500MG; VITAMINA B3  150MG; NIAGEN  50MG; SAME  200MG; ACIDO MALICO  200MG; PQQ  5MG; NADH (NADINA)  10MG,2020-07-31 13:02:11,7,1612.9217,2013.0
60 CAP | CETOPROFENO  25MG; PREDNISONA  1MG; FAMOTIDINA  20MG,2020-07-31 12:58:13,3,59.0808,50.0
60 CAP | MUCUNA EXT SECO  400MG,2020-07-31 12:48:12,1,58.336,51.0
30 CAP | DIMPLESS  40MG; ASIATICOSÍDIO  30MG; OLI OLA 3%  150MG,2020-07-31 12:48:12,3,238.3796,265.2
30 CAP | PICOLINATO DE CROMO  75MCG; COENZIMA Q10 PO  25MG; ACIDO ALFA LIPOICO  50MG,2020-07-31 12:47:12,3,46.7609,41.0
30 CAP | FASEOLAMINA  200MG; CITRUS AURANTIUM EXT SECO  200MG; PHOLIANEGRA  200MG,2020-07-31 12:45:11,3,113.8249,104.0
120 CAP | ZINCO QUELADO  20MG; VITAMINA C  500MG; 25 HIDROXI D  800UI; MAGNESIO QUELADO 30%  400MG,2020-07-31 12:40:11,4,184.6239,178.0
30 CAP | VIT D2  10000UI; VIT A   1000UI; VITAMINA C REVESTIDA  1000MG; ALFA TOCOFEROL  200UI; METILCOBALAMINA 1:100  1500MCG; INOSITOL  500MG; GLISODIN  250MG,2020-07-31 12:39:12,7,340.8813,343.8
60 CAP | VITAMINA D3  4000UI; VITAMINA A OLEOSA ORAL  1000UI; VITAMINA E OLEOSA  200UI; VITAMINA K2 SOL MAE  50MCG,2020-07-31 12:36:12,4,45.0399,44.0
60 CAP | AZATIOPRINA  50MG,2020-07-31 12:33:11,1,155.6363,143.0
30 CAP | DOXEPINA CLORIDRATO  15MG,2020-07-31 12:33:11,1,55.5863,44.2
30 CAP | NALTREXONE 2.500MG,2020-07-31 12:29:11,1,38.243,39.9
60 CAP | THEANINA  100MG; 5HTP  10MG; VALERIANA  100MG; MELISSA EXT SECO  100MG; PASSIFLORA  300MG; RHODIOLA ROSEA EXT SECO  100MG; MAGNESIO QUELADO 30%  300MG; ZINCO QUELADO  10MG; COBRE QUELADO  1MG; VITAMINA C  250MG; VITAMINA B6  20MG; NICOTINAMIDA  10MG; ESCITALOPRAM OXALATO  5MG,2020-07-31 12:28:11,13,176.2002,250.0
100 CAP | SULFATO DE ZINCO  15MG,2020-07-31 12:27:11,1,33.2503,49.5
60 CAP | DIM  200MG,2020-07-31 12:24:11,1,152.8755,142.9
90 CAP | COLINA BITARTARATO  120MG; ZINCO  5MG; CROMO PICOLINATO  100MCG; SELENIO QUELADO  50MCG; METILCOBALAMINA 1:100  10MCG; PIRIDOXAL-5-FOSFATO  5MG,2020-07-31 12:22:11,6,54.2219,48.0
30 CAP | FLUOXETINA 1.200MG,2020-07-31 12:21:11,1,30.4443,39.9
28 CAP | AMIDO  3MG,2020-07-31 12:21:11,1,30.0078,40.0
240 CAP | VITAMINA D  50000UI,2020-07-31 12:21:11,1,207.6,188.2
60 CAP | PLANTARUM LACTOBACILLUS  100MG; RHAMNOSUS LACTOBACILLUS  100MG; JOHNSONII LACTOBACILLUS  100MG; LACTIS LACTOBACILLUS  100MG; SALIVARIUS LACTOBACILLUS  100MG; ACIDOPHILUS LACTOBACILLUS  100MG; LACTOBACILLUS BIFIDUM  100MG; STREPTOCOCCUS TERMOPHILUS  100MG; BIFIDOBACTERIUM BREVE  100MG; HIDROXITIROSOL   100MG; BETAGLUCAN  80MG,2020-07-31 12:20:11,11,309.7298,290.2
120 CAP | ACIDO ALFA LIPOICO  200MG; PANCREATINA  200MG; BETAINA HCL  200MG; LACTASE  100MG,2020-07-31 12:16:11,4,214.5068,233.7
60 CAP | COLECALCIFEROL  20000UI,2020-07-31 12:14:11,1,47.76,71.0
30 CAP | DOXEPINA   25MG,2020-07-31 12:13:12,1,72.6438,60.1
30 CAP | PEAK O2 TM  1G,2020-07-31 12:10:11,1,221.7267,212.9
60 CAP | VITAMINA D   20000UI; VITAMINA A  2000UI; VITAMINA K2 MK-7   100MCG,2020-07-31 12:08:11,3,48.9371,66.45
4 CAP | VITAMINA D3 1:100  50000UI,2020-07-31 12:01:11,1,32.96,39.9
60 CAP | CARBONATO DE CALCIO PESADO  500MG; VITAMINA D  800UI; ASPARTATO DE MAGNÉSIO  100MG,2020-07-31 12:01:11,3,55.6785,48.7
30 CAP | TEACRINE  200MG,2020-07-31 12:00:11,1,136.4664,127.0
4 CAP | VITAMINA D3 1:100  30000UI,2020-07-31 12:00:11,1,31.776,39.9
60 CAP | I-PLUS ALGEA  200MG,2020-07-31 11:58:11,1,150.2036,142.4
60 CAP | T3  50MCG,2020-07-31 11:58:11,1,43.8523,44.0
30 CAP | MOROSIL  100MG; ID-ALG TM  100MG; GREEN TEA EXT SECO  100MG; CACTI-NEA  500MG; VITAMINA C  100MG; MAGNESIO QUELADO 30%  75MG,2020-07-31 11:50:11,6,154.5375,145.8
240 CAP | BICARBONATO DE SODIO  1G,2020-07-31 11:44:10,1,61.1687,54.0
30 CAP | TERMINURIC  200MG,2020-07-31 11:44:10,1,86.0952,79.0
60 CAP | EQUISETUM ARVENSE  100MG; GARCINIA CAMBOJA EXT SECO  100MG; PAULLINIA CUPANA  100MG; QUERCETINA  50MG; RUTINA  100MG; VITAMINA C REVESTIDA  100MG,2020-07-31 11:40:10,6,86.2509,82.0
90 CAP | TANSULOSINA 0.400MG,2020-07-31 11:37:11,1,92.184,91.0
60 CAP | CICLOBENZAPRINA   5MG; ESCITALOPRAM (OXALATO)  15MG,2020-07-31 11:34:10,2,81.7411,73.0
30 CAP | EGCG  200MG; GENISTEINA  50MG; RESVERATROL  50MG; CURCUMA LONGA  200MG; PIPERINA  2MG,2020-07-31 11:33:11,5,239.8025,278.6
120 CAP | BUPROPIONA CLORIDRATO  75MG,2020-07-31 11:32:10,1,65.0595,56.3
90 CAP | T4  50MCG; T3  10MCG,2020-07-31 11:25:10,2,37.3435,48.0
30 CAP | SUCRALFATO  525MG,2020-07-31 11:22:10,1,48.7818,39.9
90 CAP | VITAMINA K2 MK7  80MCG; MAGNESIO DIMALATO  200MG,2020-07-31 11:11:10,2,53.7167,68.5
90 CAP | PICNOGENOL  75MG; L GLUTATHIONE  100MG; VIT C  100MG; VIT E  100UI; SELENIO QUELADO  50MCG,2020-07-31 11:08:10,5,216.6011,227.0
60 CAP | METILFOLATO 1:10  500MCG; GLUTAMINA L  100MG; VIT B5  50MG; INOSITOL  150MG; PIRIDOXAL-5-FOSFATO  15MG; QUERCETINA  100MG; SILIMARINA  150MG; ZINCO QUELADO  20MG,2020-07-30 22:27:10,8,127.3063,121.1
180 CAP | VITAMINA D LIQ CAP ATE 15MIL  10000UI,2020-07-30 22:04:11,1,93.36,98.5
60 CAP | SILIMARINA  300MG; METIONINA  100MG; VITAMINA E  150UI; CURCUMA EXT SECO  600MG; PIPERINA  5MG; TADALAFIL 2.500MG,2020-07-30 22:03:10,6,235.0564,229.1
180 CAP | VITAMINA D  10000UI,2020-07-30 22:01:10,1,56.64,52.5
90 CAP | LEVEDURA MEDICINAL  100MG; CISTINA  20MG; QUERATINA ORAL  20MG; PABA  20MG; PANTOTENATO DE CALCIO  60MG; TIAMINA  60MG,2020-07-30 21:48:11,6,107.4632,99.2
30 CAP | SULFATO DE ZINCO  60MG,2020-07-30 21:46:10,1,33.9004,39.9
60 CAP | RC CAPILAR  60UN,2020-07-30 21:39:11,1,117.291,103.2
90 CAP | ASHWAGANDHA EXTRATO  200MG; CURCUMA EXT SECO  200MG; VITAMINA B6  60MG; GLICINA  100MG; ACIDO ALFA LIPOICO  100MG; ZINCO  15MG; SELENIO QUELADO  100MCG,2020-07-30 21:39:11,7,191.795,210.9
90 CAP | ALHO EXT SECO  250MG,2020-07-30 21:39:11,1,43.0224,47.4
60 CAP | SPOROGENES LACTOBACILLUS  80MG; JOHNSONII LACTOBACILLUS  50MG; REUTERI LACTOBACILLUS  80MG; VITAMINA A  4500UI; NIACINA NO FLUSH  200MG; VIT B12  500MCG; ZINCO QUELADO  15MG; BORO QUELADO  1MG,2020-07-30 21:34:11,8,133.8952,125.8
60 CAP | VITAMINA C  1G; SULFATO DE ZINCO  60MG,2020-07-30 21:34:11,2,86.271,78.5
60 CAP | CURCUMA EXT SECO  500MG; PIPERINA  15MG,2020-07-30 21:34:11,2,174.2955,164.6
60 CAP | MAGNESIO DIMALATO  200MG; MAGNESIO GLICINA  200MG; TIAMINA  25MG; RIBOFLAVINA  15MG; NIACINA NO FLUSH  25MG; ACIDO PANTOTENICO  50MG; PIRIDOXAL-5-FOSFATO  10MG; METILFOLATO 1:10  150MCG; METILCOBALAMINA 1:100  100MCG; CROMO GTF  100MCG; ZINCO QUELADO  10MG; SELENIO QUELADO  50MCG; COBRE QUELADO  500MCG; TRANSRESVERATROL  50MG,2020-07-30 21:34:11,14,173.4302,167.8
60 CAP | VITAMINA D LIQ CAP ATE 15MIL  5000UI; VITAMINA K2 SOL MAE  100MCG; VITAMINA E OLEOSA ORAL  200UI,2020-07-30 21:30:10,3,51.447,44.0
30 CAP | VIT B2  100MG; VIT B6  100MG; ACIDO FOLICO  10000MCG; TRIMETILGLICINA  31000MCG; ZINCO  50MG; MAGNESIO QUELADO 30%  800MG,2020-07-30 21:27:17,6,109.4366,166.1
60 CAP | ACIDO ALFA LIPOICO  100MG; COENZIMA Q10 PO  30MG; RESVERATROL  30MG; BIOPQQ  5MG,2020-07-30 21:27:17,4,151.4172,144.0
90 CAP | METILFOLATO 1:10  1000MCG; VITAMINA B6  50MG; METILCOBALAMINA 1:100  200MCG; HEXANICOTINATO DE INOSITOL  500MG; GLICINA  100MG; ZINCO QUELADO  20MG; N ACETIL L CISTEINA  200MG; BIOTINA  5MG; FOSFATIDIL COLINA  300MG; TIROSINA  100MG; SELENIO QUELADO  100MCG,2020-07-30 21:27:17,11,433.7027,417.6
60 CAP | PAROXETINA  20MG,2020-07-30 21:27:17,1,141.885,131.0
60 CAP | NALTREXONE CLORIDRATO 1.500MG,2020-07-30 21:24:11,1,39.8915,47.4
180 CAP | MIX RIGHT MISTURA (COMPRA)  500MG,2020-07-30 21:24:11,1,128.2121,126.3
40 CAP | PREGABALINA  75MG; FLUOXETINA  40MG; CARISOPRODOL  200MG,2020-07-30 21:22:10,3,155.1304,143.0
60 CAP | LACTOBACILLUS BIFIDUM  400MG; LACTOBACILLUS ACIDOFILUS  80MG; LACTOBACILLUS REUTERI  80MG; LACTOBACILLUS BULGARICUS  80MG; INULINA  120MG,2020-07-30 21:18:10,5,122.1998,116.6
70 CAP | ACICLOVIR  400MG,2020-07-30 21:13:10,1,167.8541,152.6
90 CAP | BIFIDOBACTERIUM BREVE  75MG; BIFIDOBACTERIUM LACTIS  65MG; BIFIDOBACTERIA BIFIDUM  45MG; BULGARICUS LACTOBACILLUS  20MG; CASEI LACTOBACILLUS  25MG; HELVETICUS LACTOBACILLUS  25MG; SALIVARIUS LACTOBACILLUS  30MG; ENTEROCOCCUS FAECIUM  50MG; LACTOCOCCUS LACTIS  50MG; SACCHAROMYCES BOULARDII  50MG; STREPTOCOCCUS TERMOPHILUS  50MG; XOS   500MG,2020-07-30 21:10:10,12,214.2125,200.7
90 CAP | RESVERATROL  50MG; PINUS PINASTER   100MG; SAW PALMETO   400MG,2020-07-30 21:08:10,3,203.9378,187.5
270 CAP | CURCUMA LONGA  500MG; PIPERINA  5MG,2020-07-30 21:08:10,2,526.4423,498.9
60 CAP | ZINCO QUELADO  15MG; COBRE QUELADO  1MG; ACIDO ASCORBICO  500MG; MAGNESIO QUELADO 30%  200MG; COENZIMA Q10 PO  100MG,2020-07-30 21:07:09,5,171.5493,170.0
60 CAP | CLORETO DE MAGNÉSIO  600MG,2020-07-30 21:02:10,1,45.5847,43.6
60 CAP | RELORA  200MG; CROMO GTF  200MCG; CROCUS SATIVUS  30MG,2020-07-30 21:01:10,3,203.2469,189.0
60 CAP | RHAMNOSUS LACTOBACILLUS  100MG; REUTERI LACTOBACILLUS  100MG; GASSERI LACTOBACILLUS  200MG; CASEI LACTOBACILLUS  100MG; ACIDOPHILUS LACTOBACILLUS  100MG; BIFIDOBACTERIA BIFIDUM  100MG; BIFIDOBACTERIUM LACTIS  100MG; STREPTOCOCCUS TERMOPHILUS  100MG,2020-07-30 21:00:10,8,159.4041,150.0
60 CAP | RELORA  150MG,2020-07-30 20:54:10,1,140.6644,134.3
90 CAP | T3  10MCG,2020-07-30 20:54:10,1,34.1557,47.4
30 CAP | ZINGIBER OFFICINALIS L. ROSCOE  200MG; BOSWELLIA SERRATA  100MG; CURCUMA EXT SECO  200MG; PIPER NIGRUM  10MG,2020-07-30 20:53:10,4,82.3994,73.0
30 CAP | 5-HTP  60MG; P. INCARNATA  200MG; THEANINA  100MG; PICOLINATO DE CROMO  200MCG,2020-07-30 20:52:10,4,72.0475,63.0
30 CAP | GASSERI LACTOBACILLUS  100MG; LACTOBACILLUS ACIDOPHILUS  100MG; PLANTARUM LACTOBACILLUS  100MG; RHAMNOSUS LACTOBACILLUS  100MG; PARACASEI LACTOBACILLUS   100MG; BIFIDOBACTERIA BIFIDUM  100MG; BIFIDOBACTERIUM ANIMALIS  100MG; BIFIDOBACTERIUM LONGUM  100MG,2020-07-30 20:50:09,8,90.7601,78.0
90 CAP | MAGNESIO DIMALATO  250MG,2020-07-30 20:47:11,1,59.3354,54.0
90 CAP | MAGNOLIA OFFICINALIS  125MG; PHELLODENDRON AMURENSE  125MG,2020-07-30 20:42:09,2,162.2224,149.8
30 CAP | MAGNESIO DIMALATO  120MG; MAGNESIO GLICIL GLUTAMINA  150MG; CITRATO DE MAGNESIO  130MG; ASPARTATO DE MAGNÉSIO  120MG,2020-07-30 20:42:09,4,57.7394,48.4
30 CAP | S.FAECIUM   100MG; BIFIDOBACTERIUM BREVE  100MG; RHAMNOSUS LACTOBACILLUS  100MG; BIFIDOBACTERIA BIFIDUM  100MG; CITRATO DE MAGNESIO  200MG; VITAMINA B6  20MG,2020-07-30 20:38:10,6,63.6006,52.0
120 CAP | BETAINA CLORIDRATO  300MG,2020-07-30 20:37:11,1,62.436,56.0
60 CAP | VITAMINA D LIQ CAP ATE 15MIL  4000UI; VITAMINA A OLEOSA ORAL  1000UI; VITAMINA E OLEOSA  200UI; VITAMINA K2 SOL MAE  50MCG,2020-07-30 20:36:10,4,49.9359,45.0
60 CAP | LACTOBACILLUS LACTIS  100MG; CASEI LACTOBACILLUS  100MG; RHAMNOSUS LACTOBACILLUS  100MG; PLANTARUM LACTOBACILLUS  100MG; JOHNSONII LACTOBACILLUS  100MG; BIFIDOBACTERIA BIFIDUM  100MG; BIFIDOBACTERIUM LONGUM  100MG; REUTERI LACTOBACILLUS  100MG; STREPTOCOCCUS TERMOPHILUS  100MG,2020-07-30 20:34:10,9,154.9356,152.0
30 CAP | QUERCETINA  150MG; CURCUMA LONGA  250MG; COENZIMA Q10  100MG,2020-07-30 20:33:09,3,112.3032,107.0
60 CAP | BENFOTIAMINE  100MG; GLYCOXIL  150MG; CARNOSINA   300MG,2020-07-30 20:33:09,3,650.0779,631.0
60 CAP | BUPROPIONA CLORIDRATO  100MG; TOPIRAMATO  50MG; PICOLINATO DE CROMO  150MCG; RHODIOLA ROSEA EXT SECO  200MG,2020-07-30 20:32:10,4,169.9201,158.4
90 CAP | TIMOMODULINA EXTRATO  80MG,2020-07-30 20:32:10,1,300.4424,289.4
30 CAP | LACTOBACILLUS ACIDOPHILUS  100MG; LACTOBACILLUS CASEI  100MG; LACTOBACILLUS LACTIS  100MG; BIFIDOBACTERIUM LACTIS  100MG; BIFIDOBACTERIA BIFIDUM  100MG,2020-07-30 20:31:09,5,61.3063,55.2
60 CAP | VITAMINA D 3  2000UI,2020-07-30 20:31:09,1,31.776,44.0
120 CAP | FINASTERIDA  5MG,2020-07-30 20:27:11,1,199.6199,186.9
30 CAP | VITAMINA D3 OLEOSAS  15000UI; VITAMINA A OLEOSA ORAL  500UI,2020-07-30 20:26:10,2,46.0155,39.9
60 CAP | CROMO GTF  200MCG; VANADIO QUELADO  100MCG; ZINCO GLICINA  20MG; COBRE QUELADO  1MG; BIOTINA  1MG; SELENIO QUELADO  100MCG; VITAMINA C SLOW RELEASE  500MG; SILIMARINA  300MG; NADH   5MG; METILCOBALAMINA 1:100  200MCG; TOCOFEROL  200UI; NAC  500MG; MAGNESIO QUELADO 30%  400MG,2020-07-30 20:25:09,13,291.5645,288.5
60 CAP | CACTI-NEA  500MG; CAVALINHA  500MG; CASTANHA DA INDIA  200MG; CLORELLA  500MG,2020-07-30 20:23:10,4,276.8655,272.0
60 CAP | L THEANINA  100MG; ACETILCISTEINA  300MG; BETAINA HCL  300MG,2020-07-30 20:23:10,3,88.4498,82.2
60 CAP | COLECALCIFEROL  4000UI; MAGNESIO DIMALATO  400MG; VITAMINA K2 MK7  100MCG,2020-07-30 20:18:09,3,65.0501,74.3
60 CAP | SAW PALMETO EXT SECO  160MG; PYGEUM AFRICANUM EXT. SECO  100MG; BOSWELLIA SERRATA  100MG; CURCUMA EXT SECO  100MG; PIPERINA  10MG,2020-07-30 20:15:09,5,127.8993,116.7
90 CAP | CLOROQUINA DIFOSFATO  150MG,2020-07-30 20:15:09,1,159.6,146.0
60 CAP | PREGABALINA  75MG; CARISOPRODOL  200MG; CETOPROFENO  50MG; FAMOTIDINA  40MG,2020-07-30 20:13:11,4,239.891,225.4
120 CAP | VITAMINA D   10000UI; VITAMINA A   1000UI; VITAMINA K2 MK7  120MCG,2020-07-30 20:13:11,3,48.4944,71.6
70 CAP | TRIBULUS  150MG; METILCOBALAMINA   100MCG; VIT B6  60MG; VIT B1  100MG; COENZIMA Q10 PO  30MG; VIT E  200MG,2020-07-30 20:12:10,6,187.724,157.0
90 CAP | 5-HTP  30MG; L TAURINA  120MG; THEANINA  120MG; VIT B12  150MCG; VALERIANA  120MG,2020-07-30 20:09:10,5,128.5832,146.7
30 CAP | MELATONINA SLOW RELEASE  3MG; SELENIO QUELADO  50MCG; ZINCO QUELADO  8MG,2020-07-30 20:07:09,3,51.3784,46.4
30 CAP | ACIDOPHILUS LACTOBACILLUS  100MG; RHAMNOSUS LACTOBACILLUS  100MG; BIFIDOBACTERIA BIFIDUM  100MG; BIFIDOBACTERIUM BREVE  100MG; STREPTOCOCCUS TERMOPHILUS  100MG; LACTOCOCCUS LACTIS  100MG,2020-07-30 20:04:12,6,76.2366,66.0
30 CAP | SERENZO  300MG; CHERRYPURE  350MG,2020-07-30 20:03:10,2,143.1205,146.7
60 CAP | SILICIUMAX PO  150MG; VITAMINA A  600MCG; BIOTINA 2.500MG; VITAMINA C  80MG; ZINCO  7MG,2020-07-30 20:01:09,5,180.4265,169.4
60 CAP | CAMELIA SINENSIS  500MG; PICOLINATO DE CROMO  100MCG; GARCINIA CAMBOJA EXT SECO  500MG,2020-07-30 20:00:09,3,111.0005,109.0
120 CAP | COENZIMA Q10 PO  50MG; RESVERATROL  100MG,2020-07-30 19:59:09,2,334.0081,294.9
30 CAP | VITAMINA C  250MG; ARGININA  1G; FERRO QUELADO  100MG,2020-07-30 19:57:09,3,87.5581,83.8
60 CAP | L THEANINA  250MG; 5-HTP  75MG; MAGNESIO QUELADO  250MG; VITAMINA B6  20MG; MUCUNA EXT SECO  200MG,2020-07-30 19:56:09,5,190.6563,183.0
30 CAP | PANTOTENATO DE CALCIO  50MG; BIOTINA 1:10  1MG; SILICIUMAX PO  150MG; RIBOFLAVINA  1MG; CISTINA  200MG; EXSYNUTRIMENT-SILICIO ORGANICO  50MG,2020-07-30 19:55:12,6,156.4732,147.3
30 CAP | METILCOBALAMINA 1:100  2500MCG,2020-07-30 19:55:12,1,67.4042,58.4
30 CAP | TAMOXIFENO CITRATO  20MG; ANASTROZOL 1:10 0.500MG; DIM  100MG; CRISINA  100MG; SAW PALMETO EXT SECO  200MG,2020-07-30 19:54:09,5,141.3003,131.8
30 CAP | SILIMARINA  300MG; ACIDO ALFA LIPOICO  200MG; CURCUMINA  400MG; BOLDO  200MG; METIONINA  200MG; COENZIMA Q10 PO  200MG,2020-07-30 19:53:09,6,211.1695,248.3
60 CAP | TADALAFIL 7.500MG; TRIBULUS TERRESTRIS EXT SECO  250MG; MACA   500MG,2020-07-30 19:53:09,3,173.4409,164.0
60 CAP | HEXANICOTINATO DE INOSITOL  500MG,2020-07-30 19:53:09,1,118.9892,112.5
30 CAP | VITAMINA D3 1:100  12000UI; VITAMINA A  1200UI,2020-07-30 19:52:09,2,35.3993,39.9
30 CAP | DIM  60MG,2020-07-30 19:52:09,1,48.4313,40.9
90 CAP | ASHWAGANDHA EXTRATO  150MG; RHODIOLA ROSEA  150MG,2020-07-30 19:51:09,2,107.2704,100.0
90 CAP | PROGESTERONA BASE  100MG,2020-07-30 19:50:09,1,196.9512,183.5
180 CAP | SAME  300MG; NAC  400MG; SILIMARINA  300MG,2020-07-30 19:49:09,3,962.4668,987.2
180 CAP | RELORA  300MG; RHODIOLA ROSEA EXT SECO  300MG,2020-07-30 19:49:09,2,872.8044,784.6
180 CAP | MAGNESIO DIMALATO  300MG; TRIMETILGLICINA  500MG,2020-07-30 19:48:09,2,214.999,204.0
30 CAP | BIFIDOBACTERIUM INFANTIS  100MG; BIFIDOBACTERIA BIFIDUM  100MG; ACIDOPHILUS LACTOBACILLUS  100MG; HELVETICUS LACTOBACILLUS  100MG; STREPTOCOCCUS TERMOPHILUS  100MG,2020-07-30 19:47:09,5,66.0013,58.0
30 CAP | MACA PO 10%  300MG,2020-07-30 19:41:09,1,57.0963,49.0
60 CAP | RISPERIDONA 4.500MG,2020-07-30 19:40:09,1,92.91,84.0
60 CAP | VITAMINA D3 1:100  6000UI; VITAMINA A  800UI,2020-07-30 19:34:09,2,35.423,43.6
60 CAP | RHAMNOSUS LACTOBACILLUS  20MG; LACTOBACILLUS ACIDOPHILUS  20MG; LACTOBACILLUS BIFIDUM  40MG; BULGARICUS LACTOBACILLUS  20MG; CASEI LACTOBACILLUS  20MG,2020-07-30 19:34:09,5,47.9774,43.6
60 CAP | HIDROCLOROTIAZIDA  7MG; BICARBONATO DE SODIO  100MG; CITRATO DE POTASSIO  500MG; OXIBUTININA 2.500MG,2020-07-30 19:33:09,4,62.0688,52.5
60 CAP | 5-HTP  100MG; PASSIFLORA  300MG; MULUNGU EXT SECO  100MG,2020-07-30 19:32:16,3,130.9681,124.0
90 CAP | VITAMINA D  10000UI; VITAMINA A OLEOSA ORAL  1000UI,2020-07-30 19:32:16,2,44.373,61.0
8 CAP | FLUCONAZOL ORAL  150MG,2020-07-30 19:30:09,1,88.8201,78.3
60 CAP | LACTOBACILLUS ACIDOPHILUS  100MG; LACTOBACILLUS GASSERI  30MG; PLANTARUM LACTOBACILLUS  50MG; BIFIDOBACTERIUM LONGUM  50MG; BIFIDOBACTERIUM BREVE  100MG; XOS (XILOOLIGOSSACARIDEOS)  200MG,2020-07-30 19:28:08,6,89.3053,80.5
90 CAP | METILFOLATO 1:10  1000MCG,2020-07-30 19:28:08,1,90.3214,79.3
90 CAP | VITAMINA D3 OLEOSA  10000UI; VITAMINA K2 MK7  120MCG,2020-07-30 19:27:09,2,62.0526,65.3
60 CAP | LACTOBACILLUS ACIDOPHILUS  375MG; RHAMNOSUS LACTOBACILLUS  300MG; CASEI LACTOBACILLUS  150MG; BIFIDOBACTERIUM LACTIS  225MG; BIFIDOBACTERIUM BREVE  150MG; BIFIDOBACTERIUM LONGUM  150MG; BIFIDOBACTERIA BIFIDUM  75MG; STREPTOCOCCUS TERMOPHILUS  75MG,2020-07-30 19:26:08,8,236.9023,223.1
60 CAP | LACTOBACILLUS BIFIDUM  400MG; ACIDOPHILUS LACTOBACILLUS  80MG; REUTERI LACTOBACILLUS  80MG; BULGARICUS LACTOBACILLUS  80MG; INULINA  150MG,2020-07-30 19:23:09,5,133.5942,117.0
90 CAP | L TAURINA  150MG; L THEANINA  60MG; VIT B12  200MCG; 5-HTP  20MG,2020-07-30 19:23:09,4,85.7857,79.4
60 CAP | VITAMINA D LIQ CAP ACIMA 15MIL  30000UI; VIT A OLEOSA  3000UI; VITAMINA K2 LIQ SOL MAE  150MCG,2020-07-30 19:23:09,3,81.4413,73.0
120 CAP | SELEGILINA  5MG,2020-07-30 19:21:09,1,89.508,77.5
180 CAP | MAGNESIO DIMALATO  80MG,2020-07-30 19:20:08,1,48.7747,50.0
60 CAP | T4  125MCG; T3  24MCG,2020-07-30 19:19:11,2,41.9621,44.0
120 CAP | T3  10MCG,2020-07-30 19:19:11,1,35.5409,49.5
60 CAP | T4  50MCG; T3  10MCG,2020-07-30 19:18:09,2,34.8957,43.6
16 CAP | MOROSIL  300MG; ALTILIX (BIONAP)  50MG; CACTIN  200MG; FIBREGUM B  500MG,2020-07-30 19:16:10,4,93.0561,84.4
90 CAP | MICROBIOMEX  250MG,2020-07-30 19:10:08,1,500.2509,468.4
90 CAP | MAGNESIO TREONATO  200MG,2020-07-30 19:09:08,1,73.7402,66.0
90 CAP | VITAMINA K2 SOL MAE  120MCG,2020-07-30 19:07:08,1,30.364,49.0
20 CAP | TEACRINE  100MG; NADH (NADINA)  5MG; CARNITINA BASE  500MG,2020-07-30 19:03:08,3,83.6115,101.8
10 CAP | CIPROFLOXACINA  500MG,2020-07-30 19:01:09,1,49.1757,39.9
60 CAP | PROTEASE  70MG; AMILASE  70MG; LIPASE  70MG; PANCREATINA  70MG,2020-07-30 18:59:09,4,91.5408,88.0
60 CAP | CAFEINA BASE ANIDRA  50MG; CAPSIATE  6MG; CAMELIA SINENSIS  300MG; ALCACHOFRA EXT SECO  200MG,2020-07-30 18:58:08,4,102.1722,91.4
60 CAP | CARBONATO DE CALCIO  300MG; VITAMINA D3  3000UI,2020-07-30 18:54:09,2,41.6231,43.6
40 CAP | TRIANCINOLONA BASE 1:10 ORAL  6MG; CETIRIZINA  5MG; CIMETIDINE  100MG; VITAMINA C REVESTIDA  200MG,2020-07-30 18:50:08,4,111.4185,100.0
30 CAP | PQQ  20MG,2020-07-30 18:50:08,1,110.136,101.1
